,Year,Month,InflationRate,GasPrice,Sales,NetIncome,Assets,Equity,Volume,AdjustedClose
27,2002,4,1.6,1.439,7824.0,135.67,77640.0,34040.0,52.9177,20.315
28,2002,5,1.2,1.434,7824.0,135.67,77640.0,34040.0,52.5074,20.604
29,2002,6,1.1,1.424,7824.0,135.67,77640.0,34040.0,51.2289,20.8992
30,2002,7,1.5,1.438,7971.33,-301.33,76450.0,32420.0,93.7043,17.7112
31,2002,8,1.8,1.438,7971.33,-301.33,76450.0,32420.0,63.834,18.2588
32,2002,9,1.5,1.441,7971.33,-301.33,76450.0,32420.0,56.4317,16.5004
33,2002,10,2.0,1.486,8981.0,301.33,76900.0,31910.0,77.0283,16.1144
34,2002,11,2.2,1.461,8981.0,301.33,76900.0,31910.0,68.2869,16.1378
35,2002,12,2.4,1.429,8981.0,301.33,76900.0,31910.0,56.8457,16.0054
36,2003,1,2.6,1.5,10217.33,705.33,81300.0,33140.0,75.3095,15.5046
37,2003,2,3.0,1.655,10217.33,705.33,81300.0,33140.0,57.2795,15.6207
38,2003,3,3.0,1.734,10217.33,705.33,81300.0,33140.0,75.8731,15.7375
39,2003,4,2.2,1.633,9695.0,533.33,80590.0,34420.0,62.9814,15.2896
40,2003,5,2.1,1.539,9695.0,533.33,80590.0,34420.0,82.3792,17.4487
41,2003,6,2.1,1.533,9695.0,533.33,80590.0,34420.0,60.8655,17.7587
42,2003,7,2.1,1.554,10054.33,658.33,81310.0,35510.0,55.1085,17.7365
43,2003,8,2.2,1.661,10054.33,658.33,81310.0,35510.0,49.4731,18.1031
44,2003,9,2.3,1.721,10054.33,658.33,81310.0,35510.0,52.6942,17.7504
45,2003,10,2.0,1.606,10044.0,578.33,80830.0,36560.0,57.8836,18.4584
46,2003,11,1.8,1.555,10044.0,578.33,80830.0,36560.0,44.0251,18.8405
47,2003,12,1.9,1.522,10044.0,578.33,80830.0,36560.0,59.434,21.6729
48,2004,1,1.9,1.614,10377.0,842.67,85110.0,38460.0,58.91,21.6628
49,2004,2,1.7,1.69,10377.0,842.67,85110.0,38460.0,42.5847,22.3516
50,2004,3,1.7,1.778,10377.0,842.67,85110.0,38460.0,62.5046,22.2074
51,2004,4,2.3,1.839,12208.0,1261.33,88560.0,41220.0,64.143,23.1485
52,2004,5,3.1,2.023,12208.0,1261.33,88560.0,41220.0,67.6105,23.0526
53,2004,6,3.3,2.013,12208.0,1261.33,88560.0,41220.0,65.9488,23.9986
54,2004,7,3.0,1.954,13199.33,978.67,91020.0,43040.0,54.3647,24.3914
55,2004,8,2.7,1.92,13199.33,978.67,91020.0,43040.0,71.2337,25.0744
56,2004,9,2.5,1.912,13199.33,978.67,91020.0,43040.0,114.21235,27.5896
57,2004,10,3.2,2.042,13154.0,1146.67,92440.0,45400.0,113.1392,27.2912
58,2004,11,3.5,2.023,13154.0,1146.67,92440.0,45400.0,116.5881,28.2971
59,2004,12,3.3,1.887,13154.0,1146.67,92440.0,45400.0,116.209,27.214
60,2005,1,3.0,1.875,13480.33,892.33,95800.0,46590.0,108.7876,28.1935
61,2005,2,3.0,1.953,13480.33,892.33,95800.0,46590.0,113.5604,32.3952
62,2005,3,3.1,2.12,13480.33,892.33,95800.0,46590.0,178.182,30.4279
63,2005,4,3.5,2.285,15749.0,1228.0,99040.0,48540.0,223.9281,27.1352
64,2005,5,2.8,2.205,15749.0,1228.0,99040.0,48540.0,175.1977,28.3094
65,2005,6,2.5,2.198,15749.0,1228.0,99040.0,48540.0,182.0438,29.4359
66,2005,7,3.2,2.333,17792.33,1198.0,124810.0,60190.0,132.7572,30.536
67,2005,8,3.6,2.529,17792.33,1198.0,124810.0,60190.0,212.6985,32.5644
68,2005,9,4.7,2.951,17792.33,1198.0,124810.0,60190.0,172.0133,34.3305
69,2005,10,4.3,2.765,17525.33,1381.33,125840.0,62680.0,239.7343,30.2679
70,2005,11,3.5,2.303,17525.33,1381.33,125840.0,62680.0,181.4136,30.6345
71,2005,12,3.4,2.229,17525.33,1381.33,125840.0,62680.0,161.8953,30.3459
72,2006,1,4.0,2.36,17841.33,1332.0,127730.0,64840.0,199.2505,31.741
73,2006,2,3.6,2.326,17841.33,1332.0,127730.0,64840.0,188.4848,30.4347
74,2006,3,3.4,2.468,17841.33,1332.0,127730.0,64840.0,208.3809,31.2376
75,2006,4,3.5,2.787,17384.33,1451.0,131190.0,66910.0,152.2137,32.8811
76,2006,5,4.2,2.953,17384.33,1451.0,131190.0,66910.0,221.2848,32.5025
77,2006,6,4.3,2.93,17384.33,1451.0,131190.0,66910.0,220.8191,33.7365
78,2006,7,4.1,3.025,17659.0,1672.33,134120.0,69600.0,187.0251,35.7588
79,2006,8,3.8,2.999,17659.0,1672.33,134120.0,69600.0,182.2208,35.2869
80,2006,9,2.1,2.606,17659.0,1672.33,134120.0,69600.0,196.6298,35.5389
81,2006,10,1.3,2.293,15412.67,1257.33,132630.0,68940.0,198.8434,36.8211
82,2006,11,2.0,2.275,15412.67,1257.33,132630.0,68940.0,185.4344,39.9211
83,2006,12,2.5,2.359,15412.67,1257.33,132630.0,68940.0,152.6107,40.589
84,2007,1,2.1,2.289,15434.0,1571.67,136010.0,71460.0,192.7324,40.2302
85,2007,2,2.4,2.323,15434.0,1571.67,136010.0,71460.0,183.7378,38.0959
86,2007,3,2.8,2.609,15434.0,1571.67,136010.0,71460.0,236.5395,41.1205
87,2007,4,2.6,2.891,18114.67,1793.33,139610.0,74180.0,181.4812,43.2499
88,2007,5,2.7,3.187,18114.67,1793.33,139610.0,74180.0,204.3636,45.6325
89,2007,6,2.7,3.102,18114.67,1793.33,139610.0,74180.0,195.0628,47.1725
90,2007,7,2.4,3.011,17848.33,1239.33,139560.0,74950.0,235.4959,47.7436
91,2007,8,2.0,2.834,17848.33,1239.33,139560.0,74950.0,292.0875,49.4965
92,2007,9,2.8,2.849,17848.33,1239.33,139560.0,74950.0,184.6327,52.779
93,2007,10,3.5,2.853,19966.67,1625.0,148790.0,77090.0,212.3376,51.6115
94,2007,11,4.3,3.128,19966.67,1625.0,148790.0,77090.0,230.7902,49.8354
95,2007,12,4.1,3.07,19966.67,1625.0,148790.0,77090.0,161.8289,52.9924
96,2008,1,4.3,3.095,21553.0,1722.67,152850.0,79210.0,280.7713,47.269
97,2008,2,4.0,3.078,21553.0,1722.67,152850.0,79210.0,244.7624,49.5527
98,2008,3,4.0,3.293,21553.0,1722.67,152850.0,79210.0,256.2393,48.8093
99,2008,4,3.9,3.507,26987.33,1991.67,163070.0,82270.0,236.0556,54.9791
100,2008,5,4.2,3.815,26987.33,1991.67,163070.0,82270.0,278.3812,57.0687
101,2008,6,5.0,4.105,26987.33,1991.67,163070.0,82270.0,272.7847,57.0572
102,2008,7,5.6,4.114,25397.33,2631.0,165710.0,86960.0,350.4545,48.671
103,2008,8,5.4,3.833,25397.33,2631.0,165710.0,86960.0,265.9054,50.0673
104,2008,9,4.9,3.756,25397.33,2631.0,165710.0,86960.0,359.2973,47.8401
105,2008,10,3.7,3.112,14381.67,1631.67,161170.0,86650.0,559.132,43.2695
106,2008,11,1.1,2.208,14381.67,1631.67,161170.0,86650.0,404.34,46.2373
107,2008,12,0.1,1.745,14381.67,1631.67,161170.0,86650.0,392.0605,43.2878
108,2009,1,0.0,1.84,11638.0,612.33,159430.0,87820.0,299.2153,41.2688
109,2009,2,0.2,1.975,11638.0,612.33,159430.0,87820.0,306.3433,35.8585
110,2009,3,-0.4,2.011,11638.0,612.33,159430.0,87820.0,388.0247,39.7155
111,2009,4,-0.7,2.102,13271.67,581.67,161200.0,88480.0,257.762,39.0421
112,2009,5,-1.3,2.316,13271.67,581.67,161200.0,88480.0,246.2284,39.7673
113,2009,6,-1.4,2.681,13271.67,581.67,161200.0,88480.0,279.382,39.5168
114,2009,7,-2.1,2.582,15049.67,1277.0,162560.0,91220.0,249.9122,41.4375
115,2009,8,-1.5,2.67,15049.67,1277.0,162560.0,91220.0,200.7507,42.1438
116,2009,9,-1.3,2.609,15049.67,1277.0,162560.0,91220.0,195.3156,42.4391
117,2009,10,-0.2,2.605,15873.0,1023.33,164620.0,92560.0,220.5547,46.1208
118,2009,11,1.8,2.706,15873.0,1023.33,164620.0,92560.0,179.0184,47.4314
119,2009,12,2.7,2.663,15873.0,1023.33,164620.0,92560.0,164.8068,46.7933
120,2010,1,2.6,2.769,15578.33,1517.33,168930.0,96050.0,207.1505,43.8334
121,2010,2,2.1,2.699,15578.33,1517.33,168930.0,96050.0,229.3928,44.3636
122,2010,3,2.3,2.824,15578.33,1517.33,168930.0,96050.0,215.1335,46.5296
123,2010,4,2.2,2.9,16968.33,1803.0,171750.0,100290.0,207.1046,49.9719
124,2010,5,2.0,2.89,16968.33,1803.0,171750.0,100290.0,298.2788,45.7468
125,2010,6,1.1,2.785,16968.33,1803.0,171750.0,100290.0,295.8603,42.0249
126,2010,7,1.2,2.782,16204.0,1256.0,177200.0,102970.0,233.1228,47.1959
127,2010,8,1.1,2.783,16204.0,1256.0,177200.0,102970.0,197.9486,46.3016
128,2010,9,1.1,2.757,16204.0,1256.0,177200.0,102970.0,168.2734,50.658
129,2010,10,1.2,2.853,17348.0,1765.0,184770.0,105810.0,177.6357,51.6267
130,2010,11,1.1,2.913,17348.0,1765.0,184770.0,105810.0,213.965,51.0497
131,2010,12,1.5,3.048,17348.0,1765.0,184770.0,105810.0,157.9366,57.531
132,2011,1,1.6,3.148,19603.67,2070.33,194740.0,110850.0,150.552,59.8512
133,2011,2,2.1,3.264,19603.67,2070.33,194740.0,110850.0,181.3933,65.8978
134,2011,3,2.7,3.615,19603.67,2070.33,194740.0,110850.0,206.6988,68.2733
135,2011,4,3.2,3.852,22198.67,2577.33,201720.0,116430.0,132.7817,69.5118
136,2011,5,3.6,3.96,22198.67,2577.33,201720.0,116430.0,170.7992,67.1522
137,2011,6,3.6,3.735,22198.67,2577.33,201720.0,116430.0,175.644,65.8272
138,2011,7,3.6,3.705,20377.0,2609.67,204100.0,121680.0,142.4573,66.5825
139,2011,8,3.8,3.696,20377.0,2609.67,204100.0,121680.0,314.1578,63.772
140,2011,9,3.9,3.667,20377.0,2609.67,204100.0,121680.0,233.1012,59.7395
141,2011,10,3.5,3.506,19492.0,1707.67,209470.0,122180.0,207.8935,67.7787
142,2011,11,3.4,3.443,19492.0,1707.67,209470.0,122180.0,224.7163,66.8717
143,2011,12,3.0,3.326,19492.0,1707.67,209470.0,122180.0,159.952,69.2001
144,2012,1,2.9,3.44,19671.33,2157.0,214890.0,126330.0,157.2087,67.0668
145,2012,2,2.9,3.64,19671.33,2157.0,214890.0,126330.0,130.9808,71.5166
146,2012,3,2.7,3.907,19671.33,2157.0,214890.0,126330.0,146.9797,70.2648
147,2012,4,2.3,3.958,19849.0,2403.33,219380.0,131290.0,119.7367,69.8387
148,2012,5,1.7,3.791,19849.0,2403.33,219380.0,131290.0,162.1646,65.0111
149,2012,6,1.7,3.596,19849.0,2403.33,219380.0,131290.0,157.2725,69.7657
150,2012,7,1.4,3.498,18622.33,1751.0,226860.0,134220.0,134.2659,72.4638
151,2012,8,1.7,3.78,18622.33,1751.0,226860.0,134220.0,112.9974,74.7629
152,2012,9,2.0,3.91,18622.33,1751.0,226860.0,134220.0,117.8949,77.6958
153,2012,10,2.2,3.812,18737.0,2415.0,232980.0,137830.0,129.4455,73.4835
154,2012,11,1.8,3.521,18737.0,2415.0,232980.0,137830.0,128.4177,71.0687
155,2012,12,1.7,3.381,18737.0,2415.0,232980.0,137830.0,125.4181,72.7162
156,2013,1,1.6,3.391,18123.67,2059.33,237410.0,141490.0,119.425,77.4299
157,2013,2,2.0,3.736,18123.67,2059.33,237410.0,141490.0,100.8124,79.3884
158,2013,3,1.5,3.779,18123.67,2059.33,237410.0,141490.0,114.5337,80.5201
159,2013,4,1.1,3.638,18398.33,1788.33,244050.0,144160.0,132.6688,82.6818
160,2013,5,1.4,3.675,18398.33,1788.33,244050.0,144160.0,155.4153,83.8595
161,2013,6,1.8,3.689,18398.33,1788.33,244050.0,144160.0,123.6996,80.8468
162,2013,7,2.0,3.661,18896.0,1650.0,247840.0,146070.0,104.6127,86.0047
163,2013,8,1.5,3.645,18896.0,1650.0,247840.0,146070.0,114.1013,82.9588
164,2013,9,1.2,3.604,18896.0,1650.0,247840.0,146070.0,102.7043,83.6959
165,2013,10,1.0,3.42,18003.33,1643.33,253750.0,150430.0,141.3209,82.635
166,2013,11,1.2,3.322,18003.33,1643.33,253750.0,150430.0,120.6799,85.0488
167,2013,12,1.5,3.357,18003.33,1643.33,253750.0,150430.0,116.1958,86.7645
168,2014,1,1.6,3.392,16960.33,1504.0,258240.0,151810.0,131.3423,77.54
169,2014,2,1.1,3.434,16960.33,1504.0,258240.0,151810.0,144.0161,80.8252
170,2014,3,1.5,3.606,16960.33,1504.0,258240.0,151810.0,131.0537,83.3341
171,2014,4,2.0,3.735,18551.33,1888.33,262050.0,154750.0,130.3844,87.9665
172,2014,5,2.1,3.75,18551.33,1888.33,262050.0,154750.0,103.88,86.797
173,2014,6,2.1,3.766,18551.33,1888.33,262050.0,154750.0,132.5816,92.2823
174,2014,7,2.0,3.688,17245.33,1864.33,265430.0,157310.0,101.7375,91.3563
175,2014,8,1.7,3.565,17245.33,1864.33,265430.0,157310.0,91.3163,92.2812
176,2014,9,1.7,3.484,17245.33,1864.33,265430.0,157310.0,130.032026,85.0598
177,2014,10,1.7,3.255,13890.0,1157.0,266030.0,156190.0,197.277643,85.5089
178,2014,11,1.3,2.997,13890.0,1157.0,266030.0,156190.0,130.589383,78.3242
179,2014,12,0.8,2.632,13890.0,1157.0,266030.0,156190.0,221.17842,80.7055
180,2015,1,-0.1,2.208,10812.0,855.67,269600.0,157000.0,209.62691,73.763
181,2015,2,0.0,2.301,10812.0,855.67,269600.0,157000.0,148.253494,77.4894
182,2015,3,-0.1,2.546,10812.0,855.67,269600.0,157000.0,170.274092,76.2546
183,2015,4,-0.2,2.555,12286.67,190.33,266460.0,155890.0,130.036658,80.6709
184,2015,5,0.0,2.802,12286.67,190.33,266460.0,155890.0,132.846078,75.5574
185,2015,6,0.1,2.885,12286.67,190.33,266460.0,155890.0,158.4452,70.7672
186,2015,7,0.2,2.88,10852.0,679.0,268450.0,155940.0,184.573105,64.906
187,2015,8,0.2,2.726,10852.0,679.0,268450.0,155940.0,287.809359,60.1754
188,2015,9,0.0,2.462,10852.0,679.0,268450.0,155940.0,245.835918,58.6077
189,2015,10,0.2,2.387,9265.33,-196.0,266100.0,153890.0,224.767956,67.5236
190,2015,11,0.5,2.26,9265.33,-196.0,266100.0,153890.0,176.674452,68.6444
191,2015,12,0.7,2.144,9265.33,-196.0,266100.0,153890.0,261.406906,67.6221
192,2016,1,1.4,2.057,7698.67,-241.67,263840.0,151480.0,280.058954,64.9987
193,2016,2,1.0,1.872,7698.67,-241.67,263840.0,151480.0,234.873015,63.5124
194,2016,3,0.9,2.071,7698.67,-241.67,263840.0,151480.0,214.557021,72.6161
195,2016,4,1.1,2.216,9329.67,-490.0,261480.00000000003,148330.0,155.658608,77.7768
196,2016,5,1.0,2.371,9329.67,-490.0,261480.00000000003,148330.0,130.86717,77.6951
197,2016,6,1.0,2.467,9329.67,-490.0,261480.00000000003,148330.0,152.197385,80.6414
198,2016,7,0.8,2.345,9727.33,427.67,259860.0,147950.0,134.604245,78.8336
199,2016,8,1.1,2.284,9727.33,427.67,259860.0,147950.0,132.666424,78.182
200,2016,9,1.5,2.327,9727.33,427.67,259860.0,147950.0,151.300019,80.0009
201,2016,10,1.6,2.359,10072.33,138.33,260080.0,146720.0,138.652422,81.4233
202,2016,11,1.7,2.295,10072.33,138.33,260080.0,146720.0,169.972797,87.5812
203,2016,12,2.1,2.366,10072.33,138.33,260080.0,146720.0,134.375578,92.4015
204,2017,1,2.5,2.458,10454.0,894.0,259110.0,147790.0,123.803163,87.4163
205,2017,2,2.7,2.416,10454.0,894.0,259110.0,147790.0,123.277877,89.1669
206,2017,3,2.4,2.437,10454.0,894.0,259110.0,147790.0,164.740615,85.1009
207,2017,4,2.2,2.528,10920.33,483.33,254600.0,147390.0,100.644757,84.5698
208,2017,5,1.9,2.503,10920.33,483.33,254600.0,147390.0,116.986634,82.8637
209,2017,6,1.6,2.46,10920.33,483.33,254600.0,147390.0,125.302168,83.5443
210,2017,7,1.7,2.414,11362.67,650.67,255160.0,147910.0,104.076587,87.4361
211,2017,8,1.9,2.494,11362.67,650.67,255160.0,147910.0,107.704691,87.05
212,2017,9,2.2,2.761,11362.67,650.67,255160.0,147910.0,107.168113,95.0416
213,2017,10,2.0,2.621,12189.33,1037.0,253810.0,149320.0,110.882186,93.7393
214,2017,11,2.2,2.678,12189.33,1037.0,253810.0,149320.0,100.335346,97.1541
215,2017,12,2.1,2.594,12189.33,1037.0,253810.0,149320.0,102.081581,102.2163
216,2018,1,2.1,2.671,11993.33,1212.67,256440.0,151570.0,127.62909,102.347
217,2018,2,2.2,2.705,11993.33,1212.67,256440.0,151570.0,167.33958,92.291
218,2018,3,2.4,2.709,11993.33,1212.67,256440.0,151570.0,139.46656,94.0392
219,2018,4,2.5,2.873,13552.0,1136.33,257930.0,153380.0,143.042793,103.1677
220,2018,5,2.8,2.987,13552.0,1136.33,257930.0,153380.0,147.855116,103.3865
221,2018,6,2.9,2.97,13552.0,1136.33,257930.0,153380.0,136.392348,105.1582
222,2018,7,2.9,2.928,14061.67,1349.0,256610.0,154670.0,105.548364,105.0251
223,2018,8,2.7,2.914,14061.67,1349.0,256610.0,154670.0,113.556949,99.467
224,2018,9,2.3,2.915,14061.67,1349.0,256610.0,154670.0,112.657973,102.6745
225,2018,10,2.5,2.943,13315.33,1243.33,253860.0,155640.0,152.334791,93.7489
226,2018,11,2.2,2.736,13315.33,1243.33,253860.0,155640.0,151.564884,100.8265
227,2018,12,1.9,2.457,13315.33,1243.33,253860.0,155640.0,169.675118,92.2222
228,2019,1,1.6,2.338,11475.67,883.0,256810.0,156120.0,139.157464,97.1898
229,2019,2,1.5,2.393,11475.67,883.0,256810.0,156120.0,113.779732,102.3899
230,2019,3,1.9,2.594,11475.67,883.0,256810.0,156120.0,126.231302,105.4724
231,2019,4,2.0,2.881,12109.67,1435.0,255880.0,157450.0,221.26587,102.8009
232,2019,5,1.8,2.946,12109.67,1435.0,255880.0,157450.0,174.97981,98.4439
233,2019,6,1.6,2.804,12109.67,1435.0,255880.0,157450.0,112.772229,107.6009
234,2019,7,1.8,2.823,11574.67,860.0,256540.00000000003,156890.0,99.528084,106.4509
235,2019,8,1.7,2.707,11574.67,860.0,256540.00000000003,156890.0,132.628825,102.8362
236,2019,9,1.7,2.681,11574.67,860.0,256540.00000000003,156890.0,123.991425,103.6049
237,2019,10,1.8,2.724,11558.67,-2203.33,237430.0,145210.0,112.966851,101.4559
238,2019,11,2.1,2.693,11558.67,-2203.33,237430.0,145210.0,119.863379,103.3301
239,2019,12,2.3,2.645,11558.67,-2203.33,237430.0,145210.0,120.575629,106.3118
240,2020,1,2.5,2.636,9748.0,1199.67,236680.0,144910.0,154.369806,94.5171
241,2020,2,2.3,2.533,9748.0,1199.67,236680.0,144910.0,158.421308,83.3079
242,2020,3,1.5,2.329,9748.0,1199.67,236680.0,144910.0,475.786719,64.6721
243,2020,4,0.3,1.938,5380.67,-2756.67,223400.0,134390.0,302.736257,82.1119
244,2020,5,0.1,1.961,5380.67,-2756.67,223400.0,134390.0,206.830619,82.9849
245,2020,6,0.6,2.17,5380.67,-2756.67,223400.0,134390.0,206.124485,80.7497
