,adjustedClose,volume,year,month,sales,netIncome,assets,equity,inflation,gas
70,30.6345,181413600.0,2005,11,17525.333333333332,1381.3333333333333,125840.0,62680.0,3.5,2.303
71,30.3459,161895300.0,2005,12,17525.333333333332,1381.3333333333333,125840.0,62680.0,3.4,2.229
72,31.741,199250500.0,2006,1,17841.333333333332,1332.0,127730.0,64840.0,4.0,2.36
73,30.4347,188484800.0,2006,2,17841.333333333332,1332.0,127730.0,64840.0,3.6,2.326
74,31.2376,208380900.0,2006,3,17841.333333333332,1332.0,127730.0,64840.0,3.4,2.468
75,32.8811,152213700.0,2006,4,17384.333333333332,1451.0,131190.0,66910.0,3.5,2.787
76,32.5025,221284800.0,2006,5,17384.333333333332,1451.0,131190.0,66910.0,4.2,2.953
77,33.7365,220819100.0,2006,6,17384.333333333332,1451.0,131190.0,66910.0,4.3,2.93
78,35.7588,187025100.0,2006,7,17659.0,1672.3333333333333,134120.0,69600.0,4.1,3.025
79,35.2869,182220800.0,2006,8,17659.0,1672.3333333333333,134120.0,69600.0,3.8,2.999
80,35.5389,196629800.0,2006,9,17659.0,1672.3333333333333,134120.0,69600.0,2.1,2.606
81,36.8211,198843400.0,2006,10,15412.666666666666,1257.3333333333333,132630.0,68940.0,1.3,2.293
82,39.9211,185434400.0,2006,11,15412.666666666666,1257.3333333333333,132630.0,68940.0,2.0,2.275
83,40.589,152610700.0,2006,12,15412.666666666666,1257.3333333333333,132630.0,68940.0,2.5,2.359
84,40.2302,192732400.0,2007,1,15434.0,1571.6666666666667,136010.0,71460.0,2.1,2.289
85,38.0959,183737800.0,2007,2,15434.0,1571.6666666666667,136010.0,71460.0,2.4,2.323
86,41.1205,236539500.0,2007,3,15434.0,1571.6666666666667,136010.0,71460.0,2.8,2.609
87,43.2499,181481200.0,2007,4,18114.666666666668,1793.3333333333333,139610.0,74180.0,2.6,2.891
88,45.6325,204363600.0,2007,5,18114.666666666668,1793.3333333333333,139610.0,74180.0,2.7,3.187
89,47.1725,195062800.0,2007,6,18114.666666666668,1793.3333333333333,139610.0,74180.0,2.7,3.102
90,47.7436,235495900.0,2007,7,17848.333333333332,1239.3333333333333,139560.0,74950.0,2.4,3.011
91,49.4965,292087500.0,2007,8,17848.333333333332,1239.3333333333333,139560.0,74950.0,2.0,2.834
92,52.779,184632700.0,2007,9,17848.333333333332,1239.3333333333333,139560.0,74950.0,2.8,2.849
93,51.6115,212337600.0,2007,10,19966.666666666668,1625.0,148790.0,77090.0,3.5,2.853
94,49.8354,230790200.0,2007,11,19966.666666666668,1625.0,148790.0,77090.0,4.3,3.128
95,52.9924,161828900.0,2007,12,19966.666666666668,1625.0,148790.0,77090.0,4.1,3.07
96,47.269,280771300.0,2008,1,21553.0,1722.6666666666667,152850.0,79210.0,4.3,3.095
97,49.5527,244762400.0,2008,2,21553.0,1722.6666666666667,152850.0,79210.0,4.0,3.078
98,48.8093,256239300.0,2008,3,21553.0,1722.6666666666667,152850.0,79210.0,4.0,3.293
99,54.9791,236055600.0,2008,4,26987.333333333332,1991.6666666666667,163070.0,82270.0,3.9,3.507
100,57.0687,278381200.0,2008,5,26987.333333333332,1991.6666666666667,163070.0,82270.0,4.2,3.815
101,57.0572,272784700.0,2008,6,26987.333333333332,1991.6666666666667,163070.0,82270.0,5.0,4.105
102,48.671,350454500.0,2008,7,25397.333333333332,2631.0,165710.0,86960.0,5.6,4.114
103,50.0673,265905400.0,2008,8,25397.333333333332,2631.0,165710.0,86960.0,5.4,3.833
104,47.8401,359297300.0,2008,9,25397.333333333332,2631.0,165710.0,86960.0,4.9,3.756
105,43.2695,559132000.0,2008,10,14381.666666666666,1631.6666666666667,161170.0,86650.0,3.7,3.112
106,46.2373,404340000.0,2008,11,14381.666666666666,1631.6666666666667,161170.0,86650.0,1.1,2.208
107,43.2878,392060500.0,2008,12,14381.666666666666,1631.6666666666667,161170.0,86650.0,0.1,1.745
108,41.2688,299215300.0,2009,1,11638.0,612.3333333333334,159430.0,87820.0,0.0,1.84
109,35.8585,306343300.0,2009,2,11638.0,612.3333333333334,159430.0,87820.0,0.2,1.975
110,39.7155,388024700.0,2009,3,11638.0,612.3333333333334,159430.0,87820.0,-0.4,2.011
111,39.0421,257762000.0,2009,4,13271.666666666666,581.6666666666666,161200.0,88480.0,-0.7,2.102
112,39.7673,246228400.0,2009,5,13271.666666666666,581.6666666666666,161200.0,88480.0,-1.3,2.316
