,Year,Month,InflationRate,GasPrice,Sales,NetIncome,Assets,Equity,Volume,AdjustedClose,Date,AdjustedCloseChange,RegSales,GallonsSold,DateYM
13,2001,2,3.5,1.49,3654.67,533.33,42820.0,21250.0,41.1,19.4707,2001-02-01,3.637012039984228,10.96401,7,2001-02
14,2001,3,2.9,1.45,3654.67,533.33,42820.0,21250.0,58.9378,19.9571,2001-03-01,2.4981125485986695,10.96401,7,2001-03
15,2001,4,3.3,1.591,3883.67,441.33,44060.0,22220.0,52.2352,21.9482,2001-04-01,9.976900451468396,11.65101,7,2001-04
16,2001,5,3.6,1.738,3883.67,441.33,44060.0,22220.0,48.6136,21.9813,2001-05-01,0.15080963359181965,11.65101,6,2001-05
17,2001,6,3.2,1.658,3883.67,441.33,44060.0,22220.0,51.5314,20.7112,2001-06-01,-5.778093197399599,11.65101,7,2001-06
18,2001,7,2.7,1.466,3496.33,389.33,44530.0,23000.0,53.2069,20.9149,2001-07-01,0.9835258217775902,10.48899,7,2001-07
19,2001,8,2.7,1.461,3496.33,389.33,44530.0,23000.0,52.8702,20.9135,2001-08-01,-0.006693792463750015,10.48899,7,2001-08
20,2001,9,2.6,1.557,3496.33,389.33,44530.0,23000.0,62.3171,19.5308,2001-09-01,-6.6115188753675795,10.48899,6,2001-09
21,2001,10,2.1,1.357,7079.67,-791.67,77170.0,34240.0,81.4745,20.4065,2001-10-01,4.483687304155495,21.23901,15,2001-10
22,2001,11,1.9,1.212,7079.67,-791.67,77170.0,34240.0,66.4223,19.7491,2001-11-01,-3.2215225540881676,21.23901,17,2001-11
23,2001,12,1.6,1.127,7079.67,-791.67,77170.0,34240.0,51.1426,20.8177,2001-12-01,5.410879483115693,21.23901,18,2001-12
24,2002,1,1.1,1.148,6385.33,241.67,78670.0,34420.0,57.9564,19.468,2002-01-01,-6.483425162241744,19.15599,16,2002-01
25,2002,2,1.1,1.155,6385.33,241.67,78670.0,34420.0,50.7446,19.7832,2002-02-01,1.6190671871789704,19.15599,16,2002-02
26,2002,3,1.5,1.289,6385.33,241.67,78670.0,34420.0,50.0533,21.1491,2002-03-01,6.904343078976098,19.15599,14,2002-03
27,2002,4,1.6,1.439,7824.0,135.67,77640.0,34040.0,52.9177,20.315,2002-04-01,-3.9439030502479966,23.472,16,2002-04
